precision,recall,f1-score,support,source
0.3030165912518854,0.3025339366515837,0.30203404438698556,1667.0,nih+pad
0.5791245791245792,0.5391849529780565,0.5584415584415584,319.0,mimic+pad
0.16666666666666666,0.01953125,0.03496503496503496,256.0,mimic+pad
0.24324324324324326,0.04591836734693878,0.07725321888412018,196.0,mimic+pad
0.579185520361991,0.31527093596059114,0.4082934609250399,406.0,mimic+pad
0.0,0.0,0.0,54.0,mimic+pad
0.0,0.0,0.0,84.0,mimic+pad
0.0,0.0,0.0,79.0,mimic+pad
0.2857142857142857,0.028037383177570093,0.05106382978723404,214.0,mimic+pad
0.8235294117647058,0.2589395807644883,0.3939962476547843,811.0,mimic+pad
0.6155632984901278,0.2190988011575031,0.3231707317073171,2419.0,mimic+pad
