precision,recall,f1-score,support,source
0.5,0.013888888888888888,0.02702702702702703,72.0,nih+pad
0.0,0.0,0.0,21.0,nih+pad
0.0,0.0,0.0,6.0,nih+pad
0.0,0.0,0.0,26.0,nih+pad
0.0,0.0,0.0,12.0,nih+pad
0.7142857142857143,0.027472527472527472,0.05291005291005291,182.0,nih+pad
0.5917721518987342,0.2579310344827586,0.3592699327569645,725.0,nih+pad
0.20173495754891105,0.0680377038158321,0.07396639974849252,725.0,nih+pad
0.49189139649444386,0.2579310344827586,0.2720850478868557,725.0,nih+pad
0.2647907647907648,0.26551226551226553,0.2650793650793651,725.0,nih+pad
0.6314285714285715,0.577023498694517,0.6030013642564802,383.0,mimic+pad
0.0,0.0,0.0,175.0,mimic+pad
0.20689655172413793,0.039473684210526314,0.06629834254143646,152.0,mimic+pad
